Neighborhood,Lat,Lon,Year,own_occ_rate,corp_own_rate
Allston,42.359852,-71.1495322,2004,0.29,0.07
Allston,42.359852,-71.1495322,2005,0.3,0.07
Allston,42.359852,-71.1495322,2006,0.29,0.08
Allston,42.359852,-71.1495322,2007,0.31,0.08
Allston,42.359852,-71.1495322,2008,0.31,0.09
Allston,42.359852,-71.1495322,2009,0.31,0.09
Allston,42.359852,-71.1495322,2010,0.3,0.09
Allston,42.359852,-71.1495322,2011,0.3,0.1
Allston,42.359852,-71.1495322,2012,0.28,0.1
Allston,42.359852,-71.1495322,2013,0.27,0.11
Allston,42.359852,-71.1495322,2014,0.26,0.12
Allston,42.359852,-71.1495322,2015,0.25,0.13
Allston,42.359852,-71.1495322,2016,0.24,0.14
Allston,42.359852,-71.1495322,2017,0.24,0.16
Allston,42.359852,-71.1495322,2018,0.23,0.17
Allston,42.359852,-71.1495322,2019,0.23,0.18
Allston,42.359852,-71.1495322,2020,0.22,0.22
Allston,42.359852,-71.1495322,2021,0.22,0.24
Allston,42.359852,-71.1495322,2022,0.23,0.25
Allston,42.359852,-71.1495322,2023,0.23,0.28
Allston,42.359852,-71.1495322,2024,0.22,0.3
Beacon Hill,42.3566321,-71.0739855,2004,0.34,0.05
Beacon Hill,42.3566321,-71.0739855,2005,0.34,0.06
Beacon Hill,42.3566321,-71.0739855,2006,0.32,0.06
Beacon Hill,42.3566321,-71.0739855,2007,0.33,0.07
Beacon Hill,42.3566321,-71.0739855,2008,0.33,0.07
Beacon Hill,42.3566321,-71.0739855,2009,0.32,0.08
Beacon Hill,42.3566321,-71.0739855,2010,0.32,0.07
Beacon Hill,42.3566321,-71.0739855,2011,0.3,0.07
Beacon Hill,42.3566321,-71.0739855,2012,0.3,0.07
Beacon Hill,42.3566321,-71.0739855,2013,0.31,0.07
Beacon Hill,42.3566321,-71.0739855,2014,0.31,0.08
Beacon Hill,42.3566321,-71.0739855,2015,0.31,0.09
Beacon Hill,42.3566321,-71.0739855,2016,0.31,0.09
Beacon Hill,42.3566321,-71.0739855,2017,0.31,0.12
Beacon Hill,42.3566321,-71.0739855,2018,0.31,0.13
Beacon Hill,42.3566321,-71.0739855,2019,0.31,0.15
Beacon Hill,42.3566321,-71.0739855,2020,0.3,0.2
Beacon Hill,42.3566321,-71.0739855,2021,0.29,0.24
Beacon Hill,42.3566321,-71.0739855,2022,0.3,0.25
Beacon Hill,42.3566321,-71.0739855,2023,0.3,0.28
Beacon Hill,42.3566321,-71.0739855,2024,0.29,0.3
Brighton,42.3485462,-71.2288314,2004,0.44,0.04
Brighton,42.3485462,-71.2288314,2005,0.44,0.04
Brighton,42.3485462,-71.2288314,2006,0.43,0.04
Brighton,42.3485462,-71.2288314,2007,0.45,0.05
Brighton,42.3485462,-71.2288314,2008,0.44,0.05
Brighton,42.3485462,-71.2288314,2009,0.43,0.05
Brighton,42.3485462,-71.2288314,2010,0.43,0.07
Brighton,42.3485462,-71.2288314,2011,0.42,0.07
Brighton,42.3485462,-71.2288314,2012,0.4,0.07
Brighton,42.3485462,-71.2288314,2013,0.39,0.08
Brighton,42.3485462,-71.2288314,2014,0.38,0.09
Brighton,42.3485462,-71.2288314,2015,0.36,0.1
Brighton,42.3485462,-71.2288314,2016,0.35,0.1
Brighton,42.3485462,-71.2288314,2017,0.34,0.11
Brighton,42.3485462,-71.2288314,2018,0.33,0.12
Brighton,42.3485462,-71.2288314,2019,0.33,0.13
Brighton,42.3485462,-71.2288314,2020,0.32,0.16
Brighton,42.3485462,-71.2288314,2021,0.32,0.19
Brighton,42.3485462,-71.2288314,2022,0.32,0.19
Brighton,42.3485462,-71.2288314,2023,0.32,0.21
Brighton,42.3485462,-71.2288314,2024,0.32,0.23
Downtown,42.354372,-71.0694685,2004,0.36,0.13
Downtown,42.354372,-71.0694685,2005,0.36,0.14
Downtown,42.354372,-71.0694685,2006,0.34,0.14
Downtown,42.354372,-71.0694685,2007,0.35,0.14
Downtown,42.354372,-71.0694685,2008,0.35,0.13
Downtown,42.354372,-71.0694685,2009,0.34,0.11
Downtown,42.354372,-71.0694685,2010,0.33,0.13
Downtown,42.354372,-71.0694685,2011,0.33,0.13
Downtown,42.354372,-71.0694685,2012,0.32,0.12
Downtown,42.354372,-71.0694685,2013,0.32,0.13
Downtown,42.354372,-71.0694685,2014,0.33,0.13
Downtown,42.354372,-71.0694685,2015,0.31,0.13
Downtown,42.354372,-71.0694685,2016,0.32,0.13
Downtown,42.354372,-71.0694685,2017,0.32,0.14
Downtown,42.354372,-71.0694685,2018,0.31,0.17
Downtown,42.354372,-71.0694685,2019,0.33,0.2
Downtown,42.354372,-71.0694685,2020,0.32,0.25
Downtown,42.354372,-71.0694685,2021,0.31,0.29
Downtown,42.354372,-71.0694685,2022,0.32,0.29
Downtown,42.354372,-71.0694685,2023,0.31,0.32
Downtown,42.354372,-71.0694685,2024,0.3,0.34
Charlestown,42.3819397,-71.0847463,2004,0.54,0.03
Charlestown,42.3819397,-71.0847463,2005,0.54,0.03
Charlestown,42.3819397,-71.0847463,2006,0.51,0.05
Charlestown,42.3819397,-71.0847463,2007,0.54,0.04
Charlestown,42.3819397,-71.0847463,2008,0.54,0.04
Charlestown,42.3819397,-71.0847463,2009,0.53,0.04
Charlestown,42.3819397,-71.0847463,2010,0.54,0.04
Charlestown,42.3819397,-71.0847463,2011,0.53,0.04
Charlestown,42.3819397,-71.0847463,2012,0.5,0.04
Charlestown,42.3819397,-71.0847463,2013,0.5,0.05
Charlestown,42.3819397,-71.0847463,2014,0.52,0.05
Charlestown,42.3819397,-71.0847463,2015,0.51,0.05
Charlestown,42.3819397,-71.0847463,2016,0.51,0.05
Charlestown,42.3819397,-71.0847463,2017,0.51,0.06
Charlestown,42.3819397,-71.0847463,2018,0.5,0.08
Charlestown,42.3819397,-71.0847463,2019,0.5,0.09
Charlestown,42.3819397,-71.0847463,2020,0.5,0.12
Charlestown,42.3819397,-71.0847463,2021,0.5,0.14
Charlestown,42.3819397,-71.0847463,2022,0.51,0.15
Charlestown,42.3819397,-71.0847463,2023,0.51,0.17
Charlestown,42.3819397,-71.0847463,2024,0.49,0.28
Chinatown,42.3494168,-71.0680275,2004,0.27,0.13
Chinatown,42.3494168,-71.0680275,2005,0.28,0.12
Chinatown,42.3494168,-71.0680275,2006,0.29,0.09
Chinatown,42.3494168,-71.0680275,2007,0.33,0.09
Chinatown,42.3494168,-71.0680275,2008,0.34,0.1
Chinatown,42.3494168,-71.0680275,2009,0.35,0.09
Chinatown,42.3494168,-71.0680275,2010,0.35,0.09
Chinatown,42.3494168,-71.0680275,2011,0.35,0.1
Chinatown,42.3494168,-71.0680275,2012,0.32,0.1
Chinatown,42.3494168,-71.0680275,2013,0.31,0.11
Chinatown,42.3494168,-71.0680275,2014,0.31,0.11
Chinatown,42.3494168,-71.0680275,2015,0.3,0.12
Chinatown,42.3494168,-71.0680275,2016,0.31,0.12
Chinatown,42.3494168,-71.0680275,2017,0.31,0.14
Chinatown,42.3494168,-71.0680275,2018,0.27,0.16
Chinatown,42.3494168,-71.0680275,2019,0.27,0.18
Chinatown,42.3494168,-71.0680275,2020,0.28,0.21
Chinatown,42.3494168,-71.0680275,2021,0.28,0.24
Chinatown,42.3494168,-71.0680275,2022,0.29,0.24
Chinatown,42.3494168,-71.0680275,2023,0.29,0.27
Chinatown,42.3494168,-71.0680275,2024,0.28,0.3
Dorchester,42.2992394,-71.1054116,2004,0.5,0.04
Dorchester,42.2992394,-71.1054116,2005,0.5,0.05
Dorchester,42.2992394,-71.1054116,2006,0.48,0.05
Dorchester,42.2992394,-71.1054116,2007,0.5,0.05
Dorchester,42.2992394,-71.1054116,2008,0.49,0.05
Dorchester,42.2992394,-71.1054116,2009,0.47,0.05
Dorchester,42.2992394,-71.1054116,2010,0.48,0.06
Dorchester,42.2992394,-71.1054116,2011,0.48,0.07
Dorchester,42.2992394,-71.1054116,2012,0.47,0.07
Dorchester,42.2992394,-71.1054116,2013,0.48,0.08
Dorchester,42.2992394,-71.1054116,2014,0.48,0.08
Dorchester,42.2992394,-71.1054116,2015,0.48,0.09
Dorchester,42.2992394,-71.1054116,2016,0.48,0.09
Dorchester,42.2992394,-71.1054116,2017,0.48,0.1
Dorchester,42.2992394,-71.1054116,2018,0.48,0.1
Dorchester,42.2992394,-71.1054116,2019,0.48,0.11
Dorchester,42.2992394,-71.1054116,2020,0.48,0.14
Dorchester,42.2992394,-71.1054116,2021,0.49,0.15
Dorchester,42.2992394,-71.1054116,2022,0.49,0.16
Dorchester,42.2992394,-71.1054116,2023,0.49,0.18
Dorchester,42.2992394,-71.1054116,2024,0.48,0.19
East Boston,42.3718883,-71.0571885,2004,0.47,0.03
East Boston,42.3718883,-71.0571885,2005,0.47,0.03
East Boston,42.3718883,-71.0571885,2006,0.45,0.03
East Boston,42.3718883,-71.0571885,2007,0.46,0.03
East Boston,42.3718883,-71.0571885,2008,0.46,0.04
East Boston,42.3718883,-71.0571885,2009,0.45,0.04
East Boston,42.3718883,-71.0571885,2010,0.46,0.04
East Boston,42.3718883,-71.0571885,2011,0.46,0.04
East Boston,42.3718883,-71.0571885,2012,0.44,0.05
East Boston,42.3718883,-71.0571885,2013,0.43,0.05
East Boston,42.3718883,-71.0571885,2014,0.44,0.05
East Boston,42.3718883,-71.0571885,2015,0.42,0.06
East Boston,42.3718883,-71.0571885,2016,0.41,0.07
East Boston,42.3718883,-71.0571885,2017,0.41,0.09
East Boston,42.3718883,-71.0571885,2018,0.41,0.11
East Boston,42.3718883,-71.0571885,2019,0.4,0.12
East Boston,42.3718883,-71.0571885,2020,0.41,0.17
East Boston,42.3718883,-71.0571885,2021,0.4,0.21
East Boston,42.3718883,-71.0571885,2022,0.42,0.22
East Boston,42.3718883,-71.0571885,2023,0.41,0.22
East Boston,42.3718883,-71.0571885,2024,0.41,0.3
Fenway,42.3439868,-71.1074421,2004,0.23,0.09
Fenway,42.3439868,-71.1074421,2005,0.24,0.13
Fenway,42.3439868,-71.1074421,2006,0.23,0.13
Fenway,42.3439868,-71.1074421,2007,0.24,0.13
Fenway,42.3439868,-71.1074421,2008,0.23,0.15
Fenway,42.3439868,-71.1074421,2009,0.23,0.15
Fenway,42.3439868,-71.1074421,2010,0.23,0.16
Fenway,42.3439868,-71.1074421,2011,0.22,0.16
Fenway,42.3439868,-71.1074421,2012,0.21,0.15
Fenway,42.3439868,-71.1074421,2013,0.21,0.16
Fenway,42.3439868,-71.1074421,2014,0.21,0.17
Fenway,42.3439868,-71.1074421,2015,0.19,0.18
Fenway,42.3439868,-71.1074421,2016,0.19,0.21
Fenway,42.3439868,-71.1074421,2017,0.18,0.22
Fenway,42.3439868,-71.1074421,2018,0.17,0.23
Fenway,42.3439868,-71.1074421,2019,0.17,0.24
Fenway,42.3439868,-71.1074421,2020,0.16,0.27
Fenway,42.3439868,-71.1074421,2021,0.16,0.28
Fenway,42.3439868,-71.1074421,2022,0.16,0.29
Fenway,42.3439868,-71.1074421,2023,0.17,0.35
Fenway,42.3439868,-71.1074421,2024,0.16,0.36
Hyde Park,42.2528783,-71.1632104,2004,0.64,0.02
Hyde Park,42.2528783,-71.1632104,2005,0.64,0.03
Hyde Park,42.2528783,-71.1632104,2006,0.62,0.03
Hyde Park,42.2528783,-71.1632104,2007,0.64,0.03
Hyde Park,42.2528783,-71.1632104,2008,0.64,0.04
Hyde Park,42.2528783,-71.1632104,2009,0.63,0.03
Hyde Park,42.2528783,-71.1632104,2010,0.63,0.03
Hyde Park,42.2528783,-71.1632104,2011,0.63,0.04
Hyde Park,42.2528783,-71.1632104,2012,0.6,0.07
Hyde Park,42.2528783,-71.1632104,2013,0.61,0.07
Hyde Park,42.2528783,-71.1632104,2014,0.62,0.06
Hyde Park,42.2528783,-71.1632104,2015,0.61,0.06
Hyde Park,42.2528783,-71.1632104,2016,0.62,0.05
Hyde Park,42.2528783,-71.1632104,2017,0.62,0.05
Hyde Park,42.2528783,-71.1632104,2018,0.63,0.06
Hyde Park,42.2528783,-71.1632104,2019,0.63,0.06
Hyde Park,42.2528783,-71.1632104,2020,0.64,0.08
Hyde Park,42.2528783,-71.1632104,2021,0.64,0.1
Hyde Park,42.2528783,-71.1632104,2022,0.64,0.1
Hyde Park,42.2528783,-71.1632104,2023,0.64,0.12
Hyde Park,42.2528783,-71.1632104,2024,0.63,0.12
Jamaica Plain,42.3082487,-71.1382394,2004,0.56,0.02
Jamaica Plain,42.3082487,-71.1382394,2005,0.56,0.03
Jamaica Plain,42.3082487,-71.1382394,2006,0.55,0.03
Jamaica Plain,42.3082487,-71.1382394,2007,0.57,0.03
Jamaica Plain,42.3082487,-71.1382394,2008,0.57,0.04
Jamaica Plain,42.3082487,-71.1382394,2009,0.55,0.04
Jamaica Plain,42.3082487,-71.1382394,2010,0.56,0.04
Jamaica Plain,42.3082487,-71.1382394,2011,0.56,0.04
Jamaica Plain,42.3082487,-71.1382394,2012,0.55,0.04
Jamaica Plain,42.3082487,-71.1382394,2013,0.54,0.04
Jamaica Plain,42.3082487,-71.1382394,2014,0.55,0.05
Jamaica Plain,42.3082487,-71.1382394,2015,0.54,0.05
Jamaica Plain,42.3082487,-71.1382394,2016,0.54,0.06
Jamaica Plain,42.3082487,-71.1382394,2017,0.54,0.07
Jamaica Plain,42.3082487,-71.1382394,2018,0.54,0.07
Jamaica Plain,42.3082487,-71.1382394,2019,0.53,0.08
Jamaica Plain,42.3082487,-71.1382394,2020,0.53,0.11
Jamaica Plain,42.3082487,-71.1382394,2021,0.54,0.13
Jamaica Plain,42.3082487,-71.1382394,2022,0.53,0.13
Jamaica Plain,42.3082487,-71.1382394,2023,0.53,0.16
Jamaica Plain,42.3082487,-71.1382394,2024,0.52,0.17
Longwood,42.3432039,-71.1153379,2004,0.3,0.09
Longwood,42.3432039,-71.1153379,2005,0.3,0.09
Longwood,42.3432039,-71.1153379,2006,0.29,0.09
Longwood,42.3432039,-71.1153379,2007,0.3,0.1
Longwood,42.3432039,-71.1153379,2008,0.28,0.11
Longwood,42.3432039,-71.1153379,2009,0.27,0.11
Longwood,42.3432039,-71.1153379,2010,0.27,0.11
Longwood,42.3432039,-71.1153379,2011,0.26,0.1
Longwood,42.3432039,-71.1153379,2012,0.25,0.11
Longwood,42.3432039,-71.1153379,2013,0.24,0.12
Longwood,42.3432039,-71.1153379,2014,0.25,0.11
Longwood,42.3432039,-71.1153379,2015,0.23,0.13
Longwood,42.3432039,-71.1153379,2016,0.22,0.14
Longwood,42.3432039,-71.1153379,2017,0.21,0.16
Longwood,42.3432039,-71.1153379,2018,0.2,0.18
Longwood,42.3432039,-71.1153379,2019,0.2,0.18
Longwood,42.3432039,-71.1153379,2020,0.21,0.22
Longwood,42.3432039,-71.1153379,2021,0.2,0.27
Longwood,42.3432039,-71.1153379,2022,0.21,0.27
Longwood,42.3432039,-71.1153379,2023,0.2,0.3
Longwood,42.3432039,-71.1153379,2024,0.18,0.34
Mattapan,42.2781082,-71.1081579,2004,0.57,0.02
Mattapan,42.2781082,-71.1081579,2005,0.56,0.03
Mattapan,42.2781082,-71.1081579,2006,0.54,0.03
Mattapan,42.2781082,-71.1081579,2007,0.56,0.03
Mattapan,42.2781082,-71.1081579,2008,0.56,0.03
Mattapan,42.2781082,-71.1081579,2009,0.54,0.03
Mattapan,42.2781082,-71.1081579,2010,0.55,0.03
Mattapan,42.2781082,-71.1081579,2011,0.56,0.04
Mattapan,42.2781082,-71.1081579,2012,0.54,0.04
Mattapan,42.2781082,-71.1081579,2013,0.52,0.05
Mattapan,42.2781082,-71.1081579,2014,0.54,0.05
Mattapan,42.2781082,-71.1081579,2015,0.54,0.05
Mattapan,42.2781082,-71.1081579,2016,0.52,0.06
Mattapan,42.2781082,-71.1081579,2017,0.53,0.06
Mattapan,42.2781082,-71.1081579,2018,0.53,0.07
Mattapan,42.2781082,-71.1081579,2019,0.53,0.07
Mattapan,42.2781082,-71.1081579,2020,0.55,0.09
Mattapan,42.2781082,-71.1081579,2021,0.56,0.09
Mattapan,42.2781082,-71.1081579,2022,0.56,0.1
Mattapan,42.2781082,-71.1081579,2023,0.56,0.12
Mattapan,42.2781082,-71.1081579,2024,0.55,0.14
North End,42.36532,-71.0588096,2004,0.36,0.08
North End,42.36532,-71.0588096,2005,0.35,0.08
North End,42.36532,-71.0588096,2006,0.32,0.09
North End,42.36532,-71.0588096,2007,0.34,0.1
North End,42.36532,-71.0588096,2008,0.33,0.11
North End,42.36532,-71.0588096,2009,0.32,0.1
North End,42.36532,-71.0588096,2010,0.32,0.11
North End,42.36532,-71.0588096,2011,0.31,0.11
North End,42.36532,-71.0588096,2012,0.29,0.11
North End,42.36532,-71.0588096,2013,0.3,0.11
North End,42.36532,-71.0588096,2014,0.29,0.11
North End,42.36532,-71.0588096,2015,0.28,0.13
North End,42.36532,-71.0588096,2016,0.28,0.1
North End,42.36532,-71.0588096,2017,0.28,0.12
North End,42.36532,-71.0588096,2018,0.27,0.13
North End,42.36532,-71.0588096,2019,0.26,0.16
North End,42.36532,-71.0588096,2020,0.26,0.19
North End,42.36532,-71.0588096,2021,0.25,0.23
North End,42.36532,-71.0588096,2022,0.27,0.24
North End,42.36532,-71.0588096,2023,0.26,0.28
North End,42.36532,-71.0588096,2024,0.25,0.29
Roslindale,42.2830327,-71.1443,2004,0.68,0.02
Roslindale,42.2830327,-71.1443,2005,0.67,0.02
Roslindale,42.2830327,-71.1443,2006,0.66,0.02
Roslindale,42.2830327,-71.1443,2007,0.67,0.02
Roslindale,42.2830327,-71.1443,2008,0.67,0.02
Roslindale,42.2830327,-71.1443,2009,0.65,0.02
Roslindale,42.2830327,-71.1443,2010,0.65,0.02
Roslindale,42.2830327,-71.1443,2011,0.65,0.02
Roslindale,42.2830327,-71.1443,2012,0.64,0.03
Roslindale,42.2830327,-71.1443,2013,0.64,0.03
Roslindale,42.2830327,-71.1443,2014,0.64,0.03
Roslindale,42.2830327,-71.1443,2015,0.63,0.03
Roslindale,42.2830327,-71.1443,2016,0.63,0.04
Roslindale,42.2830327,-71.1443,2017,0.63,0.05
Roslindale,42.2830327,-71.1443,2018,0.63,0.05
Roslindale,42.2830327,-71.1443,2019,0.63,0.05
Roslindale,42.2830327,-71.1443,2020,0.63,0.08
Roslindale,42.2830327,-71.1443,2021,0.63,0.1
Roslindale,42.2830327,-71.1443,2022,0.64,0.1
Roslindale,42.2830327,-71.1443,2023,0.63,0.12
Roslindale,42.2830327,-71.1443,2024,0.63,0.14
Roxbury,42.3168772,-71.127825,2004,0.3,0.07
Roxbury,42.3168772,-71.127825,2005,0.3,0.08
Roxbury,42.3168772,-71.127825,2006,0.29,0.08
Roxbury,42.3168772,-71.127825,2007,0.32,0.08
Roxbury,42.3168772,-71.127825,2008,0.32,0.08
Roxbury,42.3168772,-71.127825,2009,0.3,0.09
Roxbury,42.3168772,-71.127825,2010,0.31,0.09
Roxbury,42.3168772,-71.127825,2011,0.31,0.1
Roxbury,42.3168772,-71.127825,2012,0.31,0.11
Roxbury,42.3168772,-71.127825,2013,0.31,0.13
Roxbury,42.3168772,-71.127825,2014,0.32,0.13
Roxbury,42.3168772,-71.127825,2015,0.31,0.15
Roxbury,42.3168772,-71.127825,2016,0.3,0.16
Roxbury,42.3168772,-71.127825,2017,0.3,0.17
Roxbury,42.3168772,-71.127825,2018,0.3,0.18
Roxbury,42.3168772,-71.127825,2019,0.3,0.19
Roxbury,42.3168772,-71.127825,2020,0.31,0.22
Roxbury,42.3168772,-71.127825,2021,0.32,0.23
Roxbury,42.3168772,-71.127825,2022,0.32,0.23
Roxbury,42.3168772,-71.127825,2023,0.32,0.25
Roxbury,42.3168772,-71.127825,2024,0.32,0.25
South Boston,42.3338703,-71.0819405,2004,0.5,0.04
South Boston,42.3338703,-71.0819405,2005,0.49,0.05
South Boston,42.3338703,-71.0819405,2006,0.48,0.05
South Boston,42.3338703,-71.0819405,2007,0.51,0.05
South Boston,42.3338703,-71.0819405,2008,0.5,0.06
South Boston,42.3338703,-71.0819405,2009,0.49,0.08
South Boston,42.3338703,-71.0819405,2010,0.49,0.08
South Boston,42.3338703,-71.0819405,2011,0.49,0.08
South Boston,42.3338703,-71.0819405,2012,0.47,0.08
South Boston,42.3338703,-71.0819405,2013,0.47,0.08
South Boston,42.3338703,-71.0819405,2014,0.47,0.08
South Boston,42.3338703,-71.0819405,2015,0.45,0.09
South Boston,42.3338703,-71.0819405,2016,0.45,0.09
South Boston,42.3338703,-71.0819405,2017,0.43,0.1
South Boston,42.3338703,-71.0819405,2018,0.42,0.11
South Boston,42.3338703,-71.0819405,2019,0.41,0.12
South Boston,42.3338703,-71.0819405,2020,0.4,0.16
South Boston,42.3338703,-71.0819405,2021,0.39,0.18
South Boston,42.3338703,-71.0819405,2022,0.4,0.19
South Boston,42.3338703,-71.0819405,2023,0.4,0.21
South Boston,42.3338703,-71.0819405,2024,0.38,0.22
South Boston Waterfront,42.3466078,-71.0601605,2004,0.24,0.06
South Boston Waterfront,42.3466078,-71.0601605,2005,0.25,0.08
South Boston Waterfront,42.3466078,-71.0601605,2006,0.26,0.11
South Boston Waterfront,42.3466078,-71.0601605,2007,0.27,0.15
South Boston Waterfront,42.3466078,-71.0601605,2008,0.22,0.12
South Boston Waterfront,42.3466078,-71.0601605,2009,0.35,0.12
South Boston Waterfront,42.3466078,-71.0601605,2010,0.33,0.22
South Boston Waterfront,42.3466078,-71.0601605,2011,0.37,0.19
South Boston Waterfront,42.3466078,-71.0601605,2012,0.34,0.15
South Boston Waterfront,42.3466078,-71.0601605,2013,0.35,0.14
South Boston Waterfront,42.3466078,-71.0601605,2014,0.4,0.13
South Boston Waterfront,42.3466078,-71.0601605,2015,0.38,0.13
South Boston Waterfront,42.3466078,-71.0601605,2016,0.38,0.14
South Boston Waterfront,42.3466078,-71.0601605,2017,0.3,0.19
South Boston Waterfront,42.3466078,-71.0601605,2018,0.33,0.17
South Boston Waterfront,42.3466078,-71.0601605,2019,0.33,0.2
South Boston Waterfront,42.3466078,-71.0601605,2020,0.28,0.3
South Boston Waterfront,42.3466078,-71.0601605,2021,0.27,0.35
South Boston Waterfront,42.3466078,-71.0601605,2022,0.28,0.41
South Boston Waterfront,42.3466078,-71.0601605,2023,0.29,0.35
South Boston Waterfront,42.3466078,-71.0601605,2024,0.29,0.38
South End,42.3402234,-71.0822531,2004,0.46,0.06
South End,42.3402234,-71.0822531,2005,0.46,0.07
South End,42.3402234,-71.0822531,2006,0.45,0.07
South End,42.3402234,-71.0822531,2007,0.47,0.07
South End,42.3402234,-71.0822531,2008,0.47,0.08
South End,42.3402234,-71.0822531,2009,0.46,0.08
South End,42.3402234,-71.0822531,2010,0.47,0.08
South End,42.3402234,-71.0822531,2011,0.46,0.1
South End,42.3402234,-71.0822531,2012,0.44,0.09
South End,42.3402234,-71.0822531,2013,0.44,0.1
South End,42.3402234,-71.0822531,2014,0.43,0.09
South End,42.3402234,-71.0822531,2015,0.4,0.1
South End,42.3402234,-71.0822531,2016,0.4,0.1
South End,42.3402234,-71.0822531,2017,0.39,0.12
South End,42.3402234,-71.0822531,2018,0.39,0.13
South End,42.3402234,-71.0822531,2019,0.38,0.14
South End,42.3402234,-71.0822531,2020,0.38,0.18
South End,42.3402234,-71.0822531,2021,0.37,0.2
South End,42.3402234,-71.0822531,2022,0.38,0.21
South End,42.3402234,-71.0822531,2023,0.37,0.24
South End,42.3402234,-71.0822531,2024,0.36,0.25
West End,42.3650958,-71.0706244,2004,0.43,0.05
West End,42.3650958,-71.0706244,2005,0.42,0.06
West End,42.3650958,-71.0706244,2006,0.41,0.06
West End,42.3650958,-71.0706244,2007,0.43,0.07
West End,42.3650958,-71.0706244,2008,0.41,0.08
West End,42.3650958,-71.0706244,2009,0.4,0.08
West End,42.3650958,-71.0706244,2010,0.37,0.07
West End,42.3650958,-71.0706244,2011,0.37,0.08
West End,42.3650958,-71.0706244,2012,0.34,0.09
West End,42.3650958,-71.0706244,2013,0.34,0.09
West End,42.3650958,-71.0706244,2014,0.33,0.1
West End,42.3650958,-71.0706244,2015,0.33,0.1
West End,42.3650958,-71.0706244,2016,0.3,0.11
West End,42.3650958,-71.0706244,2017,0.29,0.12
West End,42.3650958,-71.0706244,2018,0.29,0.13
West End,42.3650958,-71.0706244,2019,0.27,0.15
West End,42.3650958,-71.0706244,2020,0.27,0.21
West End,42.3650958,-71.0706244,2021,0.27,0.23
West End,42.3650958,-71.0706244,2022,0.28,0.24
West End,42.3650958,-71.0706244,2023,0.28,0.27
West End,42.3650958,-71.0706244,2024,0.27,0.28
West Roxbury,42.2784813,-71.20086,2004,0.67,0.01
West Roxbury,42.2784813,-71.20086,2005,0.68,0.01
West Roxbury,42.2784813,-71.20086,2006,0.67,0.02
West Roxbury,42.2784813,-71.20086,2007,0.68,0.02
West Roxbury,42.2784813,-71.20086,2008,0.68,0.02
West Roxbury,42.2784813,-71.20086,2009,0.67,0.02
West Roxbury,42.2784813,-71.20086,2010,0.68,0.02
West Roxbury,42.2784813,-71.20086,2011,0.67,0.02
West Roxbury,42.2784813,-71.20086,2012,0.67,0.02
West Roxbury,42.2784813,-71.20086,2013,0.67,0.03
West Roxbury,42.2784813,-71.20086,2014,0.67,0.03
West Roxbury,42.2784813,-71.20086,2015,0.66,0.03
West Roxbury,42.2784813,-71.20086,2016,0.66,0.03
West Roxbury,42.2784813,-71.20086,2017,0.66,0.04
West Roxbury,42.2784813,-71.20086,2018,0.66,0.04
West Roxbury,42.2784813,-71.20086,2019,0.66,0.05
West Roxbury,42.2784813,-71.20086,2020,0.66,0.07
West Roxbury,42.2784813,-71.20086,2021,0.66,0.09
West Roxbury,42.2784813,-71.20086,2022,0.67,0.09
West Roxbury,42.2784813,-71.20086,2023,0.66,0.11
West Roxbury,42.2784813,-71.20086,2024,0.66,0.13